filing_date,count,component
2007-03-31,0,cichy_china
2007-06-30,2,cichy_china
2007-09-30,0,cichy_china
2007-12-31,2,cichy_china
2008-03-31,0,cichy_china
2008-06-30,0,cichy_china
2008-09-30,0,cichy_china
2008-12-31,0,cichy_china
2009-03-31,0,cichy_china
2009-06-30,0,cichy_china
2009-09-30,0,cichy_china
2009-12-31,1,cichy_china
2010-03-31,0,cichy_china
2010-06-30,0,cichy_china
2010-09-30,0,cichy_china
2010-12-31,1,cichy_china
2011-03-31,0,cichy_china
2011-06-30,1,cichy_china
2011-09-30,0,cichy_china
2011-12-31,0,cichy_china
2012-03-31,0,cichy_china
2012-06-30,0,cichy_china
2012-09-30,0,cichy_china
2012-12-31,0,cichy_china
2013-03-31,0,cichy_china
2013-06-30,0,cichy_china
2013-09-30,0,cichy_china
2013-12-31,0,cichy_china
2014-03-31,0,cichy_china
2014-06-30,1,cichy_china
2014-09-30,0,cichy_china
2014-12-31,0,cichy_china
2015-03-31,0,cichy_china
2015-06-30,0,cichy_china
2015-09-30,0,cichy_china
2015-12-31,0,cichy_china
2016-03-31,0,cichy_china
2016-06-30,0,cichy_china
2016-09-30,0,cichy_china
2016-12-31,0,cichy_china
2017-03-31,0,cichy_china
2017-06-30,0,cichy_china
2017-09-30,0,cichy_china
2017-12-31,0,cichy_china
2018-03-31,0,cichy_china
2018-06-30,0,cichy_china
2018-09-30,0,cichy_china
2018-12-31,1,cichy_china
2019-03-31,1,cichy_china
2019-06-30,0,cichy_china
2019-09-30,0,cichy_china
2019-12-31,0,cichy_china
2020-03-31,1,cichy_china
2020-06-30,0,cichy_china
2020-09-30,1,cichy_china
2020-12-31,3,cichy_china
2021-03-31,2,cichy_china
2021-06-30,1,cichy_china
2021-09-30,0,cichy_china
2021-12-31,0,cichy_china
2022-03-31,1,cichy_china
2022-06-30,0,cichy_china
2022-09-30,1,cichy_china
2022-12-31,1,cichy_china
2023-03-31,2,cichy_china
2023-06-30,0,cichy_china
2023-09-30,0,cichy_china
2023-12-31,1,cichy_china
2024-03-31,0,cichy_china
2024-06-30,2,cichy_china
2024-09-30,1,cichy_china
2024-12-31,1,cichy_china
2025-03-31,1,cichy_china
2007-12-31,1,pngay_china
2008-03-31,0,pngay_china
2008-06-30,0,pngay_china
2008-09-30,0,pngay_china
2008-12-31,0,pngay_china
2009-03-31,0,pngay_china
2009-06-30,0,pngay_china
2009-09-30,0,pngay_china
2009-12-31,0,pngay_china
2010-03-31,0,pngay_china
2010-06-30,0,pngay_china
2010-09-30,0,pngay_china
2010-12-31,1,pngay_china
2011-03-31,0,pngay_china
2011-06-30,0,pngay_china
2011-09-30,0,pngay_china
2011-12-31,0,pngay_china
2012-03-31,0,pngay_china
2012-06-30,0,pngay_china
2012-09-30,0,pngay_china
2012-12-31,0,pngay_china
2013-03-31,0,pngay_china
2013-06-30,0,pngay_china
2013-09-30,0,pngay_china
2013-12-31,0,pngay_china
2014-03-31,0,pngay_china
2014-06-30,1,pngay_china
2014-09-30,0,pngay_china
2014-12-31,0,pngay_china
2015-03-31,0,pngay_china
2015-06-30,0,pngay_china
2015-09-30,0,pngay_china
2015-12-31,0,pngay_china
2016-03-31,0,pngay_china
2016-06-30,0,pngay_china
2016-09-30,0,pngay_china
2016-12-31,1,pngay_china
2017-03-31,0,pngay_china
2017-06-30,0,pngay_china
2017-09-30,1,pngay_china
2017-12-31,0,pngay_china
2018-03-31,0,pngay_china
2018-06-30,0,pngay_china
2018-09-30,1,pngay_china
2018-12-31,2,pngay_china
2019-03-31,0,pngay_china
2019-06-30,1,pngay_china
2019-09-30,1,pngay_china
2019-12-31,1,pngay_china
2020-03-31,0,pngay_china
2020-06-30,0,pngay_china
2020-09-30,1,pngay_china
2020-12-31,1,pngay_china
2021-03-31,0,pngay_china
2021-06-30,1,pngay_china
2021-09-30,0,pngay_china
2021-12-31,0,pngay_china
2022-03-31,0,pngay_china
2022-06-30,0,pngay_china
2022-09-30,0,pngay_china
2022-12-31,0,pngay_china
2023-03-31,0,pngay_china
2023-06-30,0,pngay_china
2023-09-30,1,pngay_china
2023-12-31,1,pngay_china
2004-12-31,1,ptr_china
2005-03-31,0,ptr_china
2005-06-30,0,ptr_china
2005-09-30,0,ptr_china
2005-12-31,0,ptr_china
2006-03-31,0,ptr_china
2006-06-30,0,ptr_china
2006-09-30,0,ptr_china
2006-12-31,0,ptr_china
2007-03-31,0,ptr_china
2007-06-30,0,ptr_china
2007-09-30,0,ptr_china
2007-12-31,1,ptr_china
2008-03-31,0,ptr_china
2008-06-30,0,ptr_china
2008-09-30,0,ptr_china
2008-12-31,0,ptr_china
2009-03-31,0,ptr_china
2009-06-30,0,ptr_china
2009-09-30,0,ptr_china
2009-12-31,1,ptr_china
2010-03-31,0,ptr_china
2010-06-30,1,ptr_china
2010-09-30,0,ptr_china
2010-12-31,0,ptr_china
2011-03-31,0,ptr_china
2011-06-30,0,ptr_china
2011-09-30,0,ptr_china
2011-12-31,0,ptr_china
2012-03-31,0,ptr_china
2012-06-30,0,ptr_china
2012-09-30,0,ptr_china
2012-12-31,0,ptr_china
2013-03-31,0,ptr_china
2013-06-30,0,ptr_china
2013-09-30,0,ptr_china
2013-12-31,0,ptr_china
2014-03-31,0,ptr_china
2014-06-30,0,ptr_china
2014-09-30,0,ptr_china
2014-12-31,0,ptr_china
2015-03-31,0,ptr_china
2015-06-30,0,ptr_china
2015-09-30,0,ptr_china
2015-12-31,0,ptr_china
2016-03-31,0,ptr_china
2016-06-30,0,ptr_china
2016-09-30,0,ptr_china
2016-12-31,0,ptr_china
2017-03-31,0,ptr_china
2017-06-30,0,ptr_china
2017-09-30,0,ptr_china
2017-12-31,0,ptr_china
2018-03-31,0,ptr_china
2018-06-30,0,ptr_china
2018-09-30,0,ptr_china
2018-12-31,0,ptr_china
2019-03-31,0,ptr_china
2019-06-30,0,ptr_china
2019-09-30,0,ptr_china
2019-12-31,0,ptr_china
2020-03-31,0,ptr_china
2020-06-30,0,ptr_china
2020-09-30,0,ptr_china
2020-12-31,0,ptr_china
2021-03-31,0,ptr_china
2021-06-30,0,ptr_china
2021-09-30,0,ptr_china
2021-12-31,0,ptr_china
2022-03-31,0,ptr_china
2022-06-30,0,ptr_china
2022-09-30,1,ptr_china
2007-12-31,1,chl_china
2008-03-31,0,chl_china
2008-06-30,0,chl_china
2008-09-30,1,chl_china
2008-12-31,0,chl_china
2009-03-31,0,chl_china
2009-06-30,0,chl_china
2009-09-30,0,chl_china
2009-12-31,0,chl_china
2010-03-31,0,chl_china
2010-06-30,0,chl_china
2010-09-30,0,chl_china
2010-12-31,0,chl_china
2011-03-31,0,chl_china
2011-06-30,0,chl_china
2011-09-30,0,chl_china
2011-12-31,0,chl_china
2012-03-31,0,chl_china
2012-06-30,0,chl_china
2012-09-30,1,chl_china
2012-12-31,0,chl_china
2013-03-31,0,chl_china
2013-06-30,0,chl_china
2013-09-30,0,chl_china
2013-12-31,0,chl_china
2014-03-31,0,chl_china
2014-06-30,0,chl_china
2014-09-30,0,chl_china
2014-12-31,0,chl_china
2015-03-31,0,chl_china
2015-06-30,0,chl_china
2015-09-30,0,chl_china
2015-12-31,0,chl_china
2016-03-31,0,chl_china
2016-06-30,0,chl_china
2016-09-30,0,chl_china
2016-12-31,0,chl_china
2017-03-31,0,chl_china
2017-06-30,0,chl_china
2017-09-30,0,chl_china
2017-12-31,0,chl_china
2018-03-31,0,chl_china
2018-06-30,0,chl_china
2018-09-30,0,chl_china
2018-12-31,0,chl_china
2019-03-31,0,chl_china
2019-06-30,0,chl_china
2019-09-30,0,chl_china
2019-12-31,0,chl_china
2020-03-31,0,chl_china
2020-06-30,0,chl_china
2020-09-30,0,chl_china
2020-12-31,0,chl_china
2021-03-31,0,chl_china
2021-06-30,1,chl_china
